,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,TB,RC
1,Howie Kendrick,14,121,334,61,115,23,1,17,62,27,49,2,1,.344,232,91.25761772853186
2,Tim Anderson,4,123,498,81,167,32,0,18,56,15,109,17,5,.335,303,107.49707602339181
3,Luis Arraez,1,92,326,54,109,20,1,4,28,36,29,2,2,.334,168,67.29281767955801
4,Donovan Solano,6,81,215,27,71,13,1,4,23,10,49,0,1,.330,116,41.76
5,Christian Yelich,7,130,489,100,161,29,3,44,97,80,118,30,2,.329,404,171.11423550087872
 ,Ketel Marte,5,144,569,97,187,36,9,32,92,53,86,10,2,.329,414,159.7427652733119
7,DJ LeMahieu,9,145,602,109,197,33,2,26,102,46,90,5,2,.327,373,139.875
8,Anthony Rendon,7,146,545,117,174,44,3,34,126,80,86,5,1,.319,407,165.4048
9,Jeff McNeil,2,133,510,83,162,38,1,23,75,35,75,5,6,.318,333,120.36880733944955
10,Wilmer Flores,7,89,265,31,84,18,0,9,37,15,31,0,0,.317,156,55.15714285714286
 ,Fernando Tatis Jr.,1,84,334,61,106,13,6,22,53,30,110,16,6,.317,238,88.92307692307692
12,Nolan Arenado,7,155,588,102,185,31,2,41,118,62,93,3,2,.315,417,158.46
 ,Yoan Moncada,4,132,511,83,161,34,5,25,79,40,154,10,3,.315,344,125.48820326678766
14,Charlie Blackmon,9,140,580,112,182,42,7,32,86,40,104,2,5,.314,415,148.59677419354838
 ,Gio Urshela,4,132,442,73,139,34,0,21,74,25,87,1,1,.314,291,102.19271948608137
 ,Bryan Reynolds,1,135,491,83,154,37,4,16,68,46,121,3,2,.314,304,113.22160148975792
17,Yordan Alvarez,1,87,313,58,98,26,0,27,78,52,94,0,0,.313,258,106.02739726027397
18,Nelson Cruz,15,120,454,81,141,26,0,41,108,56,131,0,1,.311,357,137.9
 ,Michael Brantley,11,148,575,88,179,40,2,22,90,51,66,3,2,.311,353,129.69648562300318
 ,Rafael Devers,3,156,647,129,201,54,4,32,115,48,119,8,8,.311,449,160.86474820143886
21,Xander Bogaerts,7,155,614,110,190,52,0,33,117,76,122,4,2,.309,426,164.22608695652173
22,Kevin Newman,2,130,493,61,152,20,6,12,64,28,62,16,8,.308,258,89.1362763915547
23,J.D. Davis,3,140,410,65,126,22,1,22,57,38,97,3,0,.307,261,95.54464285714286
24,Hanser Alberto,4,139,524,62,160,21,2,12,51,16,50,4,4,.305,256,83.43703703703704
 ,Cody Bellinger,3,156,558,121,170,34,3,47,115,95,108,15,5,.305,435,176.53139356814702
26,J.D. Martinez,9,146,575,98,175,33,2,36,105,72,138,2,0,.304,391,149.26893353941267
 ,Corey Dickerson,7,78,260,33,79,28,2,12,59,16,56,1,0,.304,189,65.05434782608695
 ,Victor Reyes,2,69,276,29,84,16,5,3,25,14,64,9,3,.304,143,48.324137931034485
 ,Tommy Edman,1,92,326,59,99,17,7,11,36,16,61,15,1,.304,198,66.57894736842105
30,Keston Hiura,1,84,314,51,95,23,2,19,49,25,107,9,3,.303,223,78.93805309734513
31,Whit Merrifield,4,162,681,105,206,41,10,16,74,45,126,20,10,.302,382,132.06887052341597
 ,David Dahl,3,100,374,67,113,28,5,15,61,28,110,4,4,.302,244,85.58208955223881
33,Jose Altuve,9,124,500,89,149,27,3,31,74,41,82,6,5,.298,336,118.00369685767097
 ,Trea Turner,5,122,521,96,155,37,5,19,57,43,113,35,5,.298,320,112.34042553191489
 ,Yuli Gurriel,4,144,564,85,168,40,2,31,104,37,65,5,3,.298,378,128.9351081530782
36,Hunter Pence,13,83,286,53,85,17,1,18,59,26,69,6,1,.297,194,69.01923076923077
 ,Brock Holt,8,87,259,38,77,14,2,3,31,28,57,1,0,.297,123,45.0
38,Alex Bregman,4,156,554,122,164,37,2,41,112,119,83,5,1,.296,408,171.56612184249627
39,Freddie Freeman,10,158,597,113,176,34,2,38,121,87,127,6,3,.295,402,154.5701754385965
 ,Starling Marte,8,132,539,97,159,31,6,23,82,25,94,25,6,.295,331,107.98581560283688
 ,Tommy La Stella,6,80,292,49,86,8,0,16,44,20,28,0,0,.295,166,56.3974358974359
 ,Jorge Polanco,6,153,631,107,186,40,7,22,79,60,116,4,3,.295,375,133.50217076700434
 ,Mookie Betts,6,150,597,135,176,40,5,29,80,97,101,16,3,.295,387,152.23487031700287
 ,Ozzie Albies,3,160,640,102,189,43,8,24,86,54,112,15,4,.295,395,138.30691642651297
45,Trevor Story,4,145,588,111,173,38,5,35,85,58,174,23,8,.294,404,144.46439628482972
 ,Alex Verdugo,3,106,343,43,101,22,2,12,44,26,49,4,1,.294,199,68.49051490514906
47,Anthony Rizzo,9,146,512,89,150,29,3,27,94,71,86,5,2,.293,325,123.19897084048027
48,George Springer,6,122,479,96,140,20,3,39,96,67,113,6,2,.292,345,130.7967032967033
49,Mike Trout,9,134,470,110,137,27,2,45,104,110,120,11,2,.291,377,160.55
 ,Harold Castro,2,97,354,30,103,10,4,5,38,9,86,4,2,.291,155,47.823691460055095
51,Austin Meadows,2,138,530,83,154,29,7,33,89,54,131,12,7,.291,365,130.0
 ,Trey Mancini,4,154,602,106,175,38,2,35,97,63,143,1,0,.291,397,142.0842105263158
53,Justin Turner,11,135,479,80,139,24,0,27,67,51,88,2,0,.290,295,105.75471698113208
 ,Eric Sogard,9,110,396,59,115,23,2,13,40,38,63,8,0,.290,219,77.20506912442396
 ,David Fletcher,2,154,596,83,173,30,4,6,49,55,64,8,3,.290,269,94.21198156682027
56,Nicholas Castellanos,7,155,615,100,178,58,3,27,73,41,143,2,2,.289,411,137.20884146341464
57,Wilson Ramos,10,141,473,52,136,19,0,14,73,44,69,1,0,.288,230,80.07736943907156
 ,Jose Iglesias,8,146,504,62,145,21,3,11,59,20,70,6,6,.288,240,75.57251908396947
 ,Tyler Naquin,4,89,274,34,79,19,0,10,34,14,66,4,2,.288,157,50.697916666666664
 ,Ramon Laureano,2,123,434,79,125,29,0,24,67,27,123,13,2,.288,279,91.99132321041215
61,Amed Rosario,3,157,616,75,177,30,7,15,72,31,124,19,10,.287,318,102.23183925811438
62,Shohei Ohtani,2,106,384,51,110,20,5,18,62,33,110,12,3,.286,237,81.27338129496403
63,Cameron Maybin,13,82,239,48,68,17,0,11,32,30,72,9,6,.285,146,53.18959107806691
 ,Nick Markakis,14,116,414,61,118,25,2,9,62,47,59,2,0,.285,210,75.16268980477223
 ,Ryan Braun,13,144,459,70,131,31,2,22,75,34,105,11,1,.285,287,96.05476673427992
 ,Kolten Wong,7,148,478,61,136,25,4,11,59,47,83,24,4,.285,242,84.35428571428571
 ,Marcus Semien,7,162,657,123,187,43,7,33,92,87,102,10,8,.285,426,156.88709677419354
68,Miguel Rojas,6,132,483,52,137,29,1,5,46,32,62,9,5,.284,218,71.53786407766991
 ,Francisco Lindor,5,143,598,101,170,40,2,32,74,46,98,22,5,.284,384,128.7950310559006
 ,Jose Abreu,6,159,634,85,180,38,1,33,123,36,152,2,2,.284,391,126.05373134328359
71,Danny Santana,6,130,474,81,134,23,6,28,81,25,151,21,6,.283,310,98.77755511022045
72,Miguel Cabrera,17,136,493,41,139,21,0,12,59,48,108,0,0,.282,229,79.15526802218115
 ,Avisail Garcia,8,125,489,61,138,25,2,20,72,31,125,10,4,.282,274,89.05
 ,Kris Bryant,5,147,543,108,153,35,1,31,77,74,145,4,0,.282,350,128.76823338735818
 ,Juan Soto,2,150,542,110,153,32,5,34,110,108,132,12,1,.282,368,147.76615384615386
76,Austin Romine,8,72,228,29,64,12,0,8,35,10,50,1,1,.281,120,37.3109243697479
 ,Carlos Santana,10,158,573,110,161,30,1,34,93,108,108,4,0,.281,360,142.20264317180616
 ,Javier Baez,6,138,531,89,149,38,4,29,85,28,156,11,7,.281,353,111.77280858676208
 ,Garrett Cooper,3,107,381,52,107,16,1,15,50,33,110,0,0,.281,202,68.30917874396135
80,Melky Cabrera,15,133,378,43,106,22,1,7,47,17,41,2,0,.280,181,56.36202531645569
 ,Jean Segura,8,144,576,79,161,37,4,12,60,30,73,10,2,.280,295,92.97854785478548
 ,Ronald Acuna Jr.,2,156,626,127,175,22,2,41,101,76,188,37,9,.280,389,139.08689458689457
83,Daniel Murphy,11,132,438,56,122,35,1,13,78,32,74,1,1,.279,247,80.93191489361702
 ,Leury Garcia,7,140,577,93,161,27,3,8,40,21,139,15,5,.279,256,77.91304347826087
 ,Cesar Hernandez,7,161,612,77,171,31,3,14,71,45,100,9,2,.279,298,97.97260273972603
 ,Adam Eaton,8,151,566,103,158,25,7,15,49,65,106,15,3,.279,289,102.13470681458003
 ,Carlos Correa,5,75,280,42,78,16,1,21,59,35,75,1,0,.279,197,70.66984126984127
 ,Hunter Dozier,3,139,523,75,146,29,10,26,84,55,148,2,2,.279,338,117.53979238754326
89,Adam Frazier,4,153,554,80,154,33,7,10,50,40,75,5,5,.278,281,91.77441077441077
 ,Gleyber Torres,2,144,546,96,152,26,0,38,90,48,129,5,2,.278,356,119.86531986531986
 ,Omar Narvaez,4,132,428,63,119,12,0,22,55,47,92,0,0,.278,231,80.72842105263157
92,Josh Bell,4,143,527,94,146,37,3,37,116,74,118,0,1,.277,377,138.00332778702162
 ,Colin Moran,4,149,466,46,129,30,1,13,80,30,117,0,1,.277,244,78.21774193548387
